frame_index,seq_num,seq_delta,iso_timestamp,pc_recv_time_s,inter_frame_delay_ms,instant_fps,moving_avg_fps,symbol_name,symbol_id,esp_timestamp_us,esp_ts_delta_us,payload_type,payload_value,frame_bytes,crc_ok
41,210,1,2026-08-13T20:47:02.525710,1786668422.525710,2.951,338.82,2.11,LUX_SYM_HEARTBEAT,0x0001,105206849,999984,u32,105180,18,True
42,211,1,2026-08-13T20:47:03.512505,1786668423.512505,986.795,1.01,1.9,APP_COUNTER,0x0101,105206859,10,u32,105,18,True
43,212,1,2026-08-13T20:47:03.515563,1786668423.515563,3.058,327.04,2.11,LUX_SYM_HEARTBEAT,0x0001,106206855,999996,u32,106180,18,True
44,213,1,2026-08-13T20:47:04.513733,1786668424.513733,998.17,1.0,1.9,APP_COUNTER,0x0101,106206865,10,u32,106,18,True
45,214,1,2026-08-13T20:47:04.518468,1786668424.518468,4.735,211.17,2.11,LUX_SYM_HEARTBEAT,0x0001,107206855,999990,u32,107180,18,True
46,215,1,2026-08-13T20:47:05.513186,1786668425.513186,994.718,1.01,1.9,APP_COUNTER,0x0101,107206865,10,u32,107,18,True
47,216,1,2026-08-13T20:47:05.516110,1786668425.516110,2.924,341.97,2.11,LUX_SYM_HEARTBEAT,0x0001,108206855,999990,u32,108180,18,True
48,217,1,2026-08-13T20:47:06.513717,1786668426.513717,997.607,1.0,1.9,APP_COUNTER,0x0101,108206865,10,u32,108,18,True
49,218,1,2026-08-13T20:47:06.516409,1786668426.516409,2.692,371.44,2.11,LUX_SYM_HEARTBEAT,0x0001,109206855,999990,u32,109180,18,True
50,219,1,2026-08-13T20:47:07.518072,1786668427.518072,1001.663,1.0,1.9,APP_COUNTER,0x0101,109206865,10,u32,109,18,True
51,220,1,2026-08-13T20:47:07.524135,1786668427.524135,6.063,164.95,2.11,LUX_SYM_HEARTBEAT,0x0001,110206855,999990,u32,110180,18,True
52,221,1,2026-08-13T20:47:08.511627,1786668428.511627,987.492,1.01,1.9,APP_COUNTER,0x0101,110206865,10,u32,110,18,True
53,222,1,2026-08-13T20:47:08.513815,1786668428.513815,2.189,456.9,2.11,LUX_SYM_HEARTBEAT,0x0001,111206855,999990,u32,111180,18,True
54,223,1,2026-08-13T20:47:09.515596,1786668429.515596,1001.78,1.0,1.9,APP_COUNTER,0x0101,111206865,10,u32,111,18,True
55,224,1,2026-08-13T20:47:09.519572,1786668429.519572,3.976,251.5,2.11,LUX_SYM_HEARTBEAT,0x0001,112206855,999990,u32,112180,18,True
56,225,1,2026-08-13T20:47:10.513964,1786668430.513964,994.392,1.01,1.9,APP_COUNTER,0x0101,112206865,10,u32,112,18,True
57,226,1,2026-08-13T20:47:10.517377,1786668430.517377,3.413,292.96,2.11,LUX_SYM_HEARTBEAT,0x0001,113206855,999990,u32,113180,18,True
58,227,1,2026-08-13T20:47:11.513048,1786668431.513048,995.671,1.0,1.9,APP_COUNTER,0x0101,113206865,10,u32,113,18,True
59,228,1,2026-08-13T20:47:11.516921,1786668431.516921,3.873,258.21,2.11,LUX_SYM_HEARTBEAT,0x0001,114206855,999990,u32,114180,18,True
