frame_index,seq_num,seq_delta,iso_timestamp,pc_recv_time_s,inter_frame_delay_ms,instant_fps,moving_avg_fps,symbol_name,symbol_id,esp_timestamp_us,esp_ts_delta_us,payload_type,payload_value,frame_bytes,crc_ok
41,64,1,2026-08-13T18:14:43.309868,1786659283.309868,10.134,98.68,2.11,LUX_SYM_HEARTBEAT,0x0001,32046806,999996,u32,32020,18,True
42,65,1,2026-08-13T18:14:44.302364,1786659284.302364,992.496,1.01,1.9,APP_COUNTER,0x0101,32046810,4,u32,32,18,True
43,66,1,2026-08-13T18:14:44.311284,1786659284.311284,8.919,112.11,2.11,LUX_SYM_HEARTBEAT,0x0001,33046806,999996,u32,33020,18,True
44,67,1,2026-08-13T18:14:45.299331,1786659285.299331,988.047,1.01,1.9,APP_COUNTER,0x0101,33046810,4,u32,33,18,True
45,68,1,2026-08-13T18:14:45.305351,1786659285.305351,6.021,166.09,2.11,LUX_SYM_HEARTBEAT,0x0001,34046806,999996,u32,34020,18,True
46,69,1,2026-08-13T18:14:46.298386,1786659286.298386,993.035,1.01,1.9,APP_COUNTER,0x0101,34046810,4,u32,34,18,True
47,70,1,2026-08-13T18:14:46.300817,1786659286.300817,2.431,411.29,2.11,LUX_SYM_HEARTBEAT,0x0001,35046806,999996,u32,35020,18,True
48,71,1,2026-08-13T18:14:47.298765,1786659287.298765,997.947,1.0,1.9,APP_COUNTER,0x0101,35046810,4,u32,35,18,True
49,72,1,2026-08-13T18:14:47.302530,1786659287.302530,3.765,265.58,2.11,LUX_SYM_HEARTBEAT,0x0001,36046806,999996,u32,36020,18,True
50,73,1,2026-08-13T18:14:48.298049,1786659288.298049,995.519,1.0,1.9,APP_COUNTER,0x0101,36046810,4,u32,36,18,True
51,74,1,2026-08-13T18:14:48.300699,1786659288.300699,2.65,377.39,2.11,LUX_SYM_HEARTBEAT,0x0001,37046806,999996,u32,37020,18,True
52,75,1,2026-08-13T18:14:49.298787,1786659289.298787,998.088,1.0,1.9,APP_COUNTER,0x0101,37046810,4,u32,37,18,True
53,76,1,2026-08-13T18:14:49.304004,1786659289.304004,5.217,191.67,2.11,LUX_SYM_HEARTBEAT,0x0001,38046806,999996,u32,38020,18,True
54,77,1,2026-08-13T18:14:50.297086,1786659290.297086,993.082,1.01,1.9,APP_COUNTER,0x0101,38046810,4,u32,38,18,True
55,78,1,2026-08-13T18:14:50.298329,1786659290.298329,1.243,804.28,2.11,LUX_SYM_HEARTBEAT,0x0001,39046806,999996,u32,39020,18,True
56,79,1,2026-08-13T18:14:51.298702,1786659291.298702,1000.373,1.0,1.9,APP_COUNTER,0x0101,39046810,4,u32,39,18,True
57,80,1,2026-08-13T18:14:51.302249,1786659291.302249,3.546,281.97,2.11,LUX_SYM_HEARTBEAT,0x0001,40046806,999996,u32,40020,18,True
58,81,1,2026-08-13T18:14:52.298222,1786659292.298222,995.973,1.0,1.9,APP_COUNTER,0x0101,40046810,4,u32,40,18,True
59,82,1,2026-08-13T18:14:52.300435,1786659292.300435,2.214,451.73,2.11,LUX_SYM_HEARTBEAT,0x0001,41046806,999996,u32,41020,18,True
60,83,1,2026-08-13T18:14:53.298047,1786659293.298047,997.612,1.0,1.9,APP_COUNTER,0x0101,41046810,4,u32,41,18,True
61,84,1,2026-08-13T18:14:53.300669,1786659293.300669,2.622,381.37,2.11,LUX_SYM_HEARTBEAT,0x0001,42046806,999996,u32,42020,18,True
62,85,1,2026-08-13T18:14:54.297232,1786659294.297232,996.562,1.0,1.9,APP_COUNTER,0x0101,42046810,4,u32,42,18,True
63,86,1,2026-08-13T18:14:54.298575,1786659294.298575,1.343,744.46,2.11,LUX_SYM_HEARTBEAT,0x0001,43046806,999996,u32,43020,18,True
64,87,1,2026-08-13T18:14:55.297162,1786659295.297162,998.587,1.0,1.9,APP_COUNTER,0x0101,43046810,4,u32,43,18,True
65,88,1,2026-08-13T18:14:55.299044,1786659295.299044,1.882,531.26,2.11,LUX_SYM_HEARTBEAT,0x0001,44046806,999996,u32,44020,18,True
66,89,1,2026-08-13T18:14:56.297239,1786659296.297239,998.195,1.0,1.9,APP_COUNTER,0x0101,44046810,4,u32,44,18,True
67,90,1,2026-08-13T18:14:56.298483,1786659296.298483,1.244,803.81,2.11,LUX_SYM_HEARTBEAT,0x0001,45046806,999996,u32,45020,18,True
68,91,1,2026-08-13T18:14:57.297447,1786659297.297447,998.965,1.0,1.9,APP_COUNTER,0x0101,45046810,4,u32,45,18,True
69,92,1,2026-08-13T18:14:57.298542,1786659297.298542,1.095,913.59,2.11,LUX_SYM_HEARTBEAT,0x0001,46046806,999996,u32,46020,18,True
70,93,1,2026-08-13T18:14:58.299181,1786659298.299181,1000.639,1.0,1.9,APP_COUNTER,0x0101,46046810,4,u32,46,18,True
71,94,1,2026-08-13T18:14:58.302418,1786659298.302418,3.237,308.93,2.11,LUX_SYM_HEARTBEAT,0x0001,47046806,999996,u32,47020,18,True
72,95,1,2026-08-13T18:14:59.298234,1786659299.298234,995.817,1.0,1.9,APP_COUNTER,0x0101,47046810,4,u32,47,18,True
73,96,1,2026-08-13T18:14:59.300728,1786659299.300728,2.494,400.99,2.11,LUX_SYM_HEARTBEAT,0x0001,48046806,999996,u32,48020,18,True
74,97,1,2026-08-13T18:15:00.297611,1786659300.297611,996.882,1.0,1.9,APP_COUNTER,0x0101,48046810,4,u32,48,18,True
75,98,1,2026-08-13T18:15:00.300505,1786659300.300505,2.895,345.47,2.11,LUX_SYM_HEARTBEAT,0x0001,49046806,999996,u32,49020,18,True
76,99,1,2026-08-13T18:15:01.298374,1786659301.298374,997.869,1.0,1.9,APP_COUNTER,0x0101,49046810,4,u32,49,18,True
77,100,1,2026-08-13T18:15:01.301674,1786659301.301674,3.3,303.06,2.11,LUX_SYM_HEARTBEAT,0x0001,50046806,999996,u32,50020,18,True
78,101,1,2026-08-13T18:15:02.297633,1786659302.297633,995.959,1.0,1.9,APP_COUNTER,0x0101,50046810,4,u32,50,18,True
79,102,1,2026-08-13T18:15:02.300500,1786659302.300500,2.867,348.8,2.11,LUX_SYM_HEARTBEAT,0x0001,51046806,999996,u32,51020,18,True
80,103,1,2026-08-13T18:15:03.299824,1786659303.299824,999.324,1.0,1.9,APP_COUNTER,0x0101,51046810,4,u32,51,18,True
81,104,1,2026-08-13T18:15:03.306175,1786659303.306175,6.351,157.46,2.11,LUX_SYM_HEARTBEAT,0x0001,52046806,999996,u32,52020,18,True
82,105,1,2026-08-13T18:15:04.297862,1786659304.297862,991.687,1.01,1.9,APP_COUNTER,0x0101,52046810,4,u32,52,18,True
83,106,1,2026-08-13T18:15:04.300150,1786659304.300150,2.288,437.0,2.11,LUX_SYM_HEARTBEAT,0x0001,53046806,999996,u32,53020,18,True
84,107,1,2026-08-13T18:15:05.298268,1786659305.298268,998.118,1.0,1.9,APP_COUNTER,0x0101,53046810,4,u32,53,18,True
85,108,1,2026-08-13T18:15:05.301338,1786659305.301338,3.07,325.75,2.11,LUX_SYM_HEARTBEAT,0x0001,54046806,999996,u32,54020,18,True
86,109,1,2026-08-13T18:15:06.298749,1786659306.298749,997.411,1.0,1.9,APP_COUNTER,0x0101,54046810,4,u32,54,18,True
87,110,1,2026-08-13T18:15:06.301354,1786659306.301354,2.605,383.92,2.11,LUX_SYM_HEARTBEAT,0x0001,55046806,999996,u32,55020,18,True
88,111,1,2026-08-13T18:15:07.299573,1786659307.299573,998.219,1.0,1.9,APP_COUNTER,0x0101,55046810,4,u32,55,18,True
89,112,1,2026-08-13T18:15:07.303945,1786659307.303945,4.372,228.75,2.11,LUX_SYM_HEARTBEAT,0x0001,56046806,999996,u32,56020,18,True
90,113,1,2026-08-13T18:15:08.298639,1786659308.298639,994.694,1.01,1.9,APP_COUNTER,0x0101,56046810,4,u32,56,18,True
91,114,1,2026-08-13T18:15:08.301754,1786659308.301754,3.115,321.01,2.11,LUX_SYM_HEARTBEAT,0x0001,57046806,999996,u32,57020,18,True
92,115,1,2026-08-13T18:15:09.313695,1786659309.313695,1011.941,0.99,1.9,APP_COUNTER,0x0101,57046810,4,u32,57,18,True
93,116,1,2026-08-13T18:15:09.324754,1786659309.324754,11.059,90.42,2.1,LUX_SYM_HEARTBEAT,0x0001,58046806,999996,u32,58020,18,True
94,117,1,2026-08-13T18:15:10.299417,1786659310.299417,974.663,1.03,1.9,APP_COUNTER,0x0101,58046810,4,u32,58,18,True
95,118,1,2026-08-13T18:15:10.301879,1786659310.301879,2.461,406.27,2.11,LUX_SYM_HEARTBEAT,0x0001,59046806,999996,u32,59020,18,True
96,119,1,2026-08-13T18:15:11.298780,1786659311.298780,996.901,1.0,1.9,APP_COUNTER,0x0101,59046810,4,u32,59,18,True
97,120,1,2026-08-13T18:15:11.301221,1786659311.301221,2.441,409.64,2.11,LUX_SYM_HEARTBEAT,0x0001,60046806,999996,u32,60020,18,True
98,121,1,2026-08-13T18:15:12.298630,1786659312.298630,997.409,1.0,1.9,APP_COUNTER,0x0101,60046810,4,u32,60,18,True
99,122,1,2026-08-13T18:15:12.301100,1786659312.301100,2.47,404.86,2.11,LUX_SYM_HEARTBEAT,0x0001,61046806,999996,u32,61020,18,True
100,123,1,2026-08-13T18:15:13.300583,1786659313.300583,999.483,1.0,1.9,APP_COUNTER,0x0101,61046810,4,u32,61,18,True
101,124,1,2026-08-13T18:15:13.304713,1786659313.304713,4.13,242.11,2.11,LUX_SYM_HEARTBEAT,0x0001,62046806,999996,u32,62020,18,True
102,125,1,2026-08-13T18:15:14.299600,1786659314.299600,994.886,1.01,1.9,APP_COUNTER,0x0101,62046810,4,u32,62,18,True
103,126,1,2026-08-13T18:15:14.302982,1786659314.302982,3.383,295.62,2.11,LUX_SYM_HEARTBEAT,0x0001,63046806,999996,u32,63020,18,True
104,127,1,2026-08-13T18:15:15.300900,1786659315.300900,997.917,1.0,1.9,APP_COUNTER,0x0101,63046810,4,u32,63,18,True
105,128,1,2026-08-13T18:15:15.304343,1786659315.304343,3.443,290.46,2.11,LUX_SYM_HEARTBEAT,0x0001,64046806,999996,u32,64020,18,True
106,129,1,2026-08-13T18:15:16.298709,1786659316.298709,994.367,1.01,1.9,APP_COUNTER,0x0101,64046810,4,u32,64,18,True
107,130,1,2026-08-13T18:15:16.301874,1786659316.301874,3.165,315.96,2.11,LUX_SYM_HEARTBEAT,0x0001,65046806,999996,u32,65020,18,True
108,131,1,2026-08-13T18:15:17.299034,1786659317.299034,997.16,1.0,1.9,APP_COUNTER,0x0101,65046810,4,u32,65,18,True
109,132,1,2026-08-13T18:15:17.302467,1786659317.302467,3.433,291.31,2.11,LUX_SYM_HEARTBEAT,0x0001,66046806,999996,u32,66020,18,True
110,133,1,2026-08-13T18:15:18.299393,1786659318.299393,996.926,1.0,1.9,APP_COUNTER,0x0101,66046810,4,u32,66,18,True
111,134,1,2026-08-13T18:15:18.302663,1786659318.302663,3.27,305.8,2.11,LUX_SYM_HEARTBEAT,0x0001,67046806,999996,u32,67020,18,True
112,135,1,2026-08-13T18:15:19.298054,1786659319.298054,995.391,1.0,1.91,APP_COUNTER,0x0101,67046810,4,u32,67,18,True
113,136,1,2026-08-13T18:15:19.299396,1786659319.299396,1.341,745.65,2.11,LUX_SYM_HEARTBEAT,0x0001,68046806,999996,u32,68020,18,True
114,137,1,2026-08-13T18:15:20.298477,1786659320.298477,999.082,1.0,1.9,APP_COUNTER,0x0101,68046810,4,u32,68,18,True
115,138,1,2026-08-13T18:15:20.300295,1786659320.300295,1.818,550.07,2.11,LUX_SYM_HEARTBEAT,0x0001,69046806,999996,u32,69020,18,True
116,139,1,2026-08-13T18:15:21.299125,1786659321.299125,998.829,1.0,1.9,APP_COUNTER,0x0101,69046810,4,u32,69,18,True
117,140,1,2026-08-13T18:15:21.302140,1786659321.302140,3.016,331.59,2.11,LUX_SYM_HEARTBEAT,0x0001,70046806,999996,u32,70020,18,True
118,141,1,2026-08-13T18:15:22.299194,1786659322.299194,997.053,1.0,1.9,APP_COUNTER,0x0101,70046810,4,u32,70,18,True
119,142,1,2026-08-13T18:15:22.301770,1786659322.301770,2.577,388.11,2.11,LUX_SYM_HEARTBEAT,0x0001,71046806,999996,u32,71020,18,True
120,143,1,2026-08-13T18:15:23.298553,1786659323.298553,996.783,1.0,1.9,APP_COUNTER,0x0101,71046810,4,u32,71,18,True
121,144,1,2026-08-13T18:15:23.301649,1786659323.301649,3.096,323.04,2.11,LUX_SYM_HEARTBEAT,0x0001,72046806,999996,u32,72020,18,True
